Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1983,22,MIA,NFL,QB,11,9,7-2-0,173,296,58.4,2210,20,6.8,6,2.0,,,85,7.5,7.91,12.8,200.9,96.0,10,80,3.27,6.96,7.39,1,2,10,PBAP-2AP MVP-3AP OPoY-3AP ORoY-2
1984,23,MIA,NFL,QB,16,16,14-2-0,362,564,64.2,5084,48,8.5,17,3.0,,,80,9.0,9.36,14.0,317.8,108.9,13,120,2.25,8.60,8.94,2,3,21,PBAP-1AP MVP-1AP OPoY-1
1985,24,MIA,NFL,QB,16,16,12-4-0,336,567,59.3,4137,30,5.3,21,3.7,,,73,7.3,6.69,12.3,258.6,84.1,18,157,3.08,6.80,6.21,3,5,15,PBAP-1
1986,25,MIA,NFL,QB,16,16,8-8-0,378,623,60.7,4746,44,7.1,23,3.7,,,85,7.6,7.37,12.6,296.6,92.5,17,119,2.66,7.23,6.99,1,2,19,PBAP-1AP MVP-3AP OPoY-2
1987,26,MIA,NFL,QB,12,12,7-5-0,263,444,59.2,3245,26,5.9,13,2.9,,,59,7.3,7.16,12.3,270.4,89.2,9,77,1.99,6.99,6.85,2,2,12,PB
1988,27,MIA,NFL,QB,16,16,6-10-0,354,606,58.4,4434,28,4.6,23,3.8,,,80,7.3,6.53,12.5,277.1,80.8,6,31,0.98,7.19,6.42,1,2,14,AP OPoY-4
1989,28,MIA,NFL,QB,16,16,8-8-0,308,550,56.0,3997,24,4.4,22,4.0,,,78,7.3,6.34,13.0,249.8,76.9,10,86,1.79,6.98,6.07,2,4,12,
1990,29,MIA,NFL,QB,16,16,12-4-0,306,531,57.6,3563,21,4.0,11,2.1,,,69,6.7,6.57,11.6,222.7,82.6,15,90,2.75,6.36,6.22,3,3,12,
1991,30,MIA,NFL,QB,16,16,8-8-0,318,549,57.9,3970,25,4.6,13,2.4,,,54,7.2,7.08,12.5,248.1,85.8,27,182,4.69,6.58,6.43,1,3,15,PB
1992,31,MIA,NFL,QB,16,16,11-5-0,330,554,59.6,4116,24,4.3,16,2.9,,,62,7.4,7.00,12.5,257.3,85.1,28,173,4.81,6.77,6.36,6,6,15,PB
1993,32,MIA,NFL,QB,5,5,4-1-0,91,150,60.7,1218,8,5.3,3,2.0,,,80,8.1,8.29,13.4,243.6,95.9,7,42,4.46,7.49,7.65,1,1,5,
1994,33,MIA,NFL,QB,16,16,10-6-0,385,615,62.6,4453,30,4.9,17,2.8,214,48.8,64,7.2,6.97,11.6,278.3,89.2,18,113,2.84,6.86,6.60,4,4,15,PBAP-2
1995,34,MIA,NFL,QB,14,14,9-5-0,309,482,64.1,3668,24,5.0,15,3.1,185,49.0,67,7.6,7.21,11.9,262.0,90.8,22,153,4.37,6.97,6.59,2,3,12,PBAP-2
1996,35,MIA,NFL,QB,13,13,7-6-0,221,373,59.2,2795,17,4.6,9,2.4,121,42.5,74,7.5,7.32,12.6,215.0,87.8,18,131,4.60,6.81,6.65,0,1,9,
1997,36,MIA,NFL,QB,16,16,9-7-0,319,548,58.2,3780,16,2.9,11,2.0,188,46.1,55,6.9,6.58,11.8,236.3,80.7,20,132,3.52,6.42,6.11,1,3,13,
1998,37,MIA,NFL,QB,16,16,10-6-0,310,537,57.7,3497,23,4.3,15,2.8,173,43.0,61,6.5,6.11,11.3,218.6,80.0,23,178,4.11,5.93,5.54,1,1,10,
1999,38,MIA,NFL,QB,11,11,5-6-0,204,369,55.3,2448,12,3.3,17,4.6,122,44.4,62,6.6,5.21,12.0,222.5,67.4,9,66,2.38,6.30,4.91,2,2,7,
17 Yrs,17 Yrs,17 Yrs,17 Yrs,,242,240,147-93-0,4967,8358,59.4,61361,420,5.0,252,3.0,1003,45.9,85,7.3,6.99,12.4,253.6,86.4,270,1930,3.13,6.89,6.55,33,47,216,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,147-93-0,349,587,59.4,4310,30,5.0,18,3.0,,,85,7.3,6.99,12.4,253.6,86.4,19,136,3.13,6.89,6.55,2,3,15,
