Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1998,27,STL,NFL,QB,1,0,,4,11,36.4,39,0,0.0,0,0.0,2,27.3,21,3.5,3.55,9.8,39.0,47.2,,0,0,0.00,3.55,3.55,0,0,0,
1999,28,STL,NFL,QB,16,16,13-3-0,325,499,65.1,4353,41,8.2,13,2.6,197,50.8,75,8.7,9.19,13.4,272.1,109.2,,29,201,5.49,7.86,8.31,0,0,19,PBAP-1AP MVP-1AP OPoY-2
2000,29,STL,NFL,QB,11,11,8-3-0,235,347,67.7,3429,21,6.1,18,5.2,153,55.6,85,9.9,8.76,14.6,311.7,98.3,,20,115,5.45,9.03,7.97,1,2,15,PB
2001,30,STL,NFL,QB,16,16,14-2-0,375,546,68.7,4830,36,6.6,22,4.0,233,53.8,65,8.8,8.35,12.9,301.9,101.4,,38,233,6.51,7.87,7.41,1,2,20,PBAP-1AP MVP-1AP OPoY-2
2002,31,STL,NFL,QB,7,6,0-6-0,144,220,65.5,1431,3,1.4,11,5.0,68,46.9,43,6.5,4.53,9.9,204.4,67.4,,21,130,8.71,5.40,3.59,0,0,2,
2003,32,STL,NFL,QB,2,1,0-1-0,38,65,58.5,365,1,1.5,1,1.5,15,32.4,37,5.6,5.23,9.6,182.5,72.9,,6,38,8.45,4.61,4.25,0,0,1,
2004,33,NYG,NFL,QB,10,9,5-4-0,174,277,62.8,2054,6,2.2,4,1.4,94,44.6,62,7.4,7.20,11.8,205.4,86.5,,39,196,12.34,5.88,5.69,0,1,7,
2005,34,ARI,NFL,QB,10,10,2-8-0,242,375,64.5,2713,11,2.9,9,2.4,133,45.5,63,7.2,6.74,11.2,271.3,85.8,,23,158,5.78,6.42,5.95,2,2,7,
2006,35,ARI,NFL,QB,6,5,1-4-0,108,168,64.3,1377,6,3.6,5,3.0,65,47.3,64,8.2,7.57,12.8,229.5,89.3,45.2,14,104,7.69,6.99,6.42,0,0,5,
2007,36,ARI,NFL,QB,14,11,5-6-0,281,451,62.3,3417,27,6.0,17,3.8,169,48.2,62,7.6,7.08,12.2,244.1,89.8,67.9,20,140,4.25,6.96,6.48,1,1,10,
2008,37,ARI,NFL,QB,16,16,9-7-0,401,598,67.1,4583,30,5.0,14,2.3,224,51.4,79,7.7,7.61,11.4,286.4,96.9,68.5,26,182,4.17,7.05,7.00,1,1,16,PBAP MVP-7AP CPoY-4
2009,38,ARI,NFL,QB,15,15,10-5-0,339,513,66.1,3753,26,5.1,14,2.7,192,50.5,45,7.3,7.10,11.1,250.2,93.2,66.2,24,172,4.47,6.67,6.46,1,2,11,
12 Yrs,12 Yrs,12 Yrs,12 Yrs,,124,116,67-49-0,2666,4070,65.5,32344,208,5.1,128,3.1,1545,49.7,85,7.9,7.55,12.1,260.8,93.7,,260,1669,6.00,7.08,6.71,7,11,113,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,16,67-49-0,366,558,65.5,4434,29,5.1,18,3.1,212,49.7,85,7.9,7.55,12.1,260.8,93.7,,36,229,6.00,7.08,6.71,1,2,15,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STL (6 Yrs),STL (6 Yrs),STL (6 Yrs),STL (6 Yrs),,53,50,35-15-0,1121,1688,66.4,14447,102,6.0,65,3.9,668,51.3,85,8.6,8.03,12.9,272.6,97.2,,114,717,6.33,7.62,7.13,2,4,57,
ARI (5 Yrs),ARI (5 Yrs),ARI (5 Yrs),ARI (5 Yrs),,61,57,27-30-0,1371,2105,65.1,15843,100,4.8,59,2.8,783,49.1,79,7.5,7.22,11.6,259.7,91.9,,107,756,4.84,6.82,6.52,5,6,49,
NYG (1 Yr),NYG (1 Yr),NYG (1 Yr),NYG (1 Yr),,10,9,5-4-0,174,277,62.8,2054,6,2.2,4,1.4,94,44.6,62,7.4,7.20,11.8,205.4,86.5,,39,196,12.34,5.88,5.69,0,1,7,
