Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
1985,24,TAM,NFL,QB,5,5,1-4-0,72,138,52.2,935,3,2.2,8,5.8,,,59,6.8,4.60,13.0,187.0,56.9,21,158,13.21,4.89,3.00,1,1,4,
1986,25,TAM,NFL,QB,14,14,2-12-0,195,363,53.7,2282,8,2.2,13,3.6,,,46,6.3,5.12,11.7,163.0,65.5,47,326,11.46,4.77,3.73,0,0,9,
1987,26,SFO,NFL,QB,8,3,2-1-0,37,69,53.6,570,10,14.5,0,0.0,,,50,8.3,11.16,15.4,71.3,120.8,3,25,4.17,7.57,10.35,0,0,4,
1988,27,SFO,NFL,QB,11,3,2-1-0,54,101,53.5,680,3,3.0,3,3.0,,,73,6.7,5.99,12.6,61.8,72.2,13,75,11.40,5.31,4.65,1,1,4,
1989,28,SFO,NFL,QB,10,3,3-0-0,64,92,69.6,1001,8,8.7,3,3.3,,,50,10.9,11.15,15.6,100.1,120.8,12,84,11.54,8.82,9.06,0,1,5,
1990,29,SFO,NFL,QB,6,1,0-1-0,38,62,61.3,427,2,3.2,0,0.0,,,34,6.9,7.53,11.2,71.2,92.6,8,41,11.43,5.51,6.09,1,1,2,
1991,30,SFO,NFL,QB,11,10,5-5-0,180,279,64.5,2517,17,6.1,8,2.9,,,97,9.0,8.95,14.0,228.8,101.8,13,79,4.45,8.35,8.28,0,0,14,
1992,31,SFO,NFL,QB,16,16,14-2-0,268,402,66.7,3465,25,6.2,7,1.7,,,80,8.6,9.08,12.9,216.6,107.0,29,152,6.73,7.69,8.12,3,5,22,PBAP-1AP MVP-1AP OPoY-1
1993,32,SFO,NFL,QB,16,16,10-6-0,314,462,68.0,4023,29,6.3,16,3.5,,,80,8.7,8.40,12.8,251.4,101.5,31,160,6.29,7.84,7.55,0,0,22,PBAP-1AP MVP-2AP OPoY-2
1994,33,SFO,NFL,QB,16,16,13-3-0,324,461,70.3,3969,35,7.6,10,2.2,187,55.5,69,8.6,9.15,12.3,248.1,112.8,31,163,6.30,7.74,8.24,1,1,22,PBAP-1AP MVP-1AP OPoY-2
1995,34,SFO,NFL,QB,11,11,8-3-0,299,447,66.9,3200,20,4.5,11,2.5,163,50.8,57,7.2,6.95,10.7,290.9,92.3,25,115,5.30,6.54,6.33,0,0,13,PBAP-2
1996,35,SFO,NFL,QB,12,12,9-3-0,214,316,67.7,2410,14,4.4,6,1.9,125,48.9,52,7.6,7.66,11.3,200.8,97.2,34,160,9.71,6.43,6.46,2,2,12,PB
1997,36,SFO,NFL,QB,15,15,12-3-0,241,356,67.7,3029,19,5.3,6,1.7,149,48.6,82,8.5,8.82,12.6,201.9,104.7,35,220,8.95,7.18,7.47,1,1,14,PBAP-2AP MVP-4
1998,37,SFO,NFL,QB,15,15,11-4-0,322,517,62.3,4170,36,7.0,12,2.3,208,46.0,81,8.1,8.41,13.0,278.0,101.1,48,234,8.50,6.97,7.28,2,3,19,PBAP-2AP OPoY-4
1999,38,SFO,NFL,QB,3,3,2-1-0,45,84,53.6,446,3,3.6,4,4.8,17,37.0,53,5.3,3.88,9.9,148.7,60.9,8,63,8.70,4.16,2.86,1,0,2,
15 Yrs,15 Yrs,15 Yrs,15 Yrs,,169,143,94-49-0,2667,4149,64.3,33124,232,5.6,107,2.6,849,49.4,97,8.0,7.94,12.4,196.0,96.8,358,2055,7.94,6.89,6.85,13,16,168,
17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,14,94-49-0,268,417,64.3,3332,23,5.6,11,2.6,,,97,8.0,7.94,12.4,196.0,96.8,36,207,7.94,6.89,6.85,1,2,17,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFO (13 Yrs),SFO (13 Yrs),SFO (13 Yrs),SFO (13 Yrs),,150,124,91-33-0,2400,3648,65.8,29907,221,6.1,86,2.4,849,49.4,97,8.2,8.35,12.5,199.4,101.4,290,1571,7.36,7.20,7.34,12,15,155,
TAM (2 Yrs),TAM (2 Yrs),TAM (2 Yrs),TAM (2 Yrs),,19,19,3-16-0,267,501,53.3,3217,11,2.2,21,4.2,,,59,6.4,4.97,12.0,169.3,63.1,68,484,11.95,4.80,3.53,1,1,13,
